StudentID,Age,StudyHours,Attendance,PreviousGPA,AssignmentsCompleted,SleepHours,InternetHours,Scholarship,Program,FinalGrade
STU-10522,22.0,10.7,83.73,6.09,69.15,6.27,4.39,Sí,Ingeniería Industrial,3.96
STU-10947,65.0,9.86,99.6,6.76,76.95,6.52,8.03,No,Ingeniería Informática,5.09
STU-11352,26.0,13.43,92.65,6.07,95.99,6.7,6.37,No,Contador Auditor,4.37
STU-12298,27.0,20.77,81.73,5.09,90.96,6.16,5.81,No,Contador Auditor,4.02
STU-13527,20.0,6.27,70.17,4.84,64.2,6.3,4.1,No,Ingeniería Civil,3.24
STU-11440,21.0,13.81,-19.961239748468998,6.69,93.82,5.72,5.15,Sí,Ingeniería Industrial,4.65
STU-11553,22.0,25.61,97.21,7.0,100.0,8.04,2.95,Sí,Ingeniería Informática,6.63
STU-13546,25.0,14.75,63.12,6.5,85.08,7.26,9.09,Sí,Ingeniería Industrial,4.97
STU-14415,75.0,8.09,88.2,4.8,91.06,7.02,,No,Contador Auditor,4.17
STU-11738,25.0,3.88,76.03,5.45,50.65,8.29,11.96,Sí,Administración,2.83
STU-11735,18.0,9.16,88.99,5.17,82.36,8.44,3.61,No,Ingeniería Informática,4.32
STU-10686,26.0,4.77,73.3,6.03,58.1,10.25,7.85,No,Ingeniería Informática,3.11
STU-14277,32.0,16.09,83.7,5.43,,7.67,1.32,No,Contador Auditor,3.73
STU-11715,30.0,14.63,73.13,6.06,90.67,6.58,4.72,No,Ingeniería Civil,4.24
STU-14530,20.0,10.95,84.35,6.25,87.99,5.24,2.8,No,Ingeniería Industrial,4.09
STU-14655,27.0,7.37,86.24,6.21,76.96,7.12,6.92,No,Ingeniería Industrial,4.62
STU-13555,26.0,6.08,111.56746737822476,4.69,73.54,,6.44,No,Ingeniería Civil,3.05
STU-12994,21.0,9.8,73.64,5.12,70.38,8.68,8.9,Sí,Contador Auditor,2.58
STU-10322,25.0,11.76,79.45,5.57,82.84,7.18,12.08,No,Contador Auditor,2.61
STU-10564,29.0,16.84,80.01,5.88,100.0,5.9,2.42,No,Ingeniería Civil,4.25
STU-13999,18.0,10.05,71.61,6.77,67.64,7.45,6.97,No,Administración,4.52
STU-10173,25.0,14.12,93.79,7.0,75.74,6.8,7.16,No,Administración,4.76
STU-14145,24.0,25.07,100.0,6.87,95.45,8.15,8.99,No,Ingeniería Civil,6.2
STU-13109,25.0,9.01,80.52,5.39,87.3,6.67,4.09,No,Ingeniería Civil,3.91
STU-12215,19.0,13.59,98.5,5.79,100.0,4.91,1.81,Sí,Ingeniería Civil,4.99
STU-11673,25.0,6.55,67.19,4.86,41.69,8.72,9.39,No,Ingeniería Industrial,2.57
STU-12193,21.0,9.08,89.8,5.9,72.6,7.92,5.0,No,Ingeniería Industrial,4.32
STU-14617,24.0,13.13,81.89,5.82,100.0,4.83,9.41,Sí,Ingeniería Informática,3.71
STU-10533,21.0,13.18,88.07,4.91,,6.37,8.21,No,,3.98
STU-14192,22.0,7.06,76.44,4.3,56.73,8.97,7.71,No,Ingeniería Industrial,2.52
STU-11985,22.0,1.0,66.98,5.01,72.25,7.41,3.96,Sí,Administración,3.46
STU-13649,25.0,17.51,79.59,6.69,100.0,8.53,1.19,No,Ingeniería Civil,5.11
STU-14038,19.0,13.6,92.16,5.31,100.0,6.33,7.56,Sí,Ingeniería Industrial,4.29
STU-13059,27.0,12.88,59.39,6.44,81.43,7.06,9.04,Sí,Administración,3.58
STU-13506,24.0,,,5.3,90.54,8.03,7.82,No,Ingeniería Civil,2.74
STU-11411,28.0,12.34,78.09,6.85,59.8,4.14,9.35,No,Administración,4.03
STU-13000,21.0,16.97,90.09,5.64,100.0,8.2,3.76,No,Ingeniería Informática,4.38
STU-10378,23.0,9.35,77.05,6.52,89.6,5.58,2.75,No,Contador Auditor,3.89
STU-13326,18.0,16.14,88.22,6.43,98.56,6.35,4.59,Sí,Contador Auditor,5.15
STU-11192,28.0,2.44,88.78,5.55,69.95,7.1,2.35,No,Ingeniería Industrial,3.69
STU-12137,28.0,10.15,68.84,6.13,76.38,5.24,12.32,No,Ingeniería Informática,4.01
STU-10611,20.0,17.07,89.35,6.53,100.0,6.36,5.88,Sí,Ingeniería Civil,5.26
STU-10420,22.0,6.64,87.67,4.83,74.02,6.39,3.71,No,Administración,2.66
STU-11914,25.0,14.37,100.0,6.7,100.0,5.74,4.09,No,Ingeniería Informática,5.1
STU-12156,30.0,13.39,75.13,5.94,81.88,7.19,5.19,Sí,Ingeniería Informática,4.04
STU-13582,23.0,17.24,89.61,,100.0,5.36,3.18,Sí,Ingeniería Civil,4.6
STU-12642,24.0,13.8,86.77,5.87,97.23,8.82,11.39,No,Contador Auditor,4.92
STU-13706,23.0,,78.05,5.08,100.0,6.67,1.09,No,Ingeniería Industrial,3.76
STU-14913,21.0,10.76,,4.82,80.35,5.59,3.04,Sí,Ingeniería Civil,3.12
STU-10549,26.0,20.97,100.0,5.12,100.0,6.28,9.88,No,Contador Auditor,4.55
STU-10758,18.0,15.9,77.87,5.67,100.0,5.63,12.41,No,Ingeniería Informática,4.2
STU-11896,25.0,11.44,77.52,5.28,61.84,7.63,5.75,No,Contador Auditor,2.94
STU-12682,19.0,13.23,93.42,,88.72,5.86,6.81,No,Ingeniería Civil,4.91
STU-10071,30.0,6.62,66.39,4.89,70.76,5.79,2.83,Sí,Ingeniería Civil,2.87
STU-12224,18.0,12.51,97.36,5.22,100.0,6.42,4.47,No,Ingeniería Industrial,3.61
STU-13314,18.0,14.97,,5.22,83.66,7.39,4.28,No,Ingeniería Industrial,3.88
STU-11726,19.0,7.06,76.28,5.19,82.83,6.63,9.67,No,Contador Auditor,2.99
STU-14904,29.0,1.0,83.63,4.55,72.21,7.59,1.05,No,Contador Auditor,2.51
STU-14527,18.0,7.82,94.9,4.75,,6.77,4.59,No,Contador Auditor,3.38
STU-13050,22.0,13.43,80.6,5.26,90.93,7.06,12.83,No,Ingeniería Informática,5.09
STU-12544,23.0,7.73,63.94,4.93,67.42,7.73,6.55,No,Ingeniería Informática,3.19
STU-10627,25.0,16.41,70.02,5.68,93.1,7.43,10.39,Sí,Ingeniería Informática,3.98
STU-10691,21.0,7.27,50.43,5.55,65.59,8.2,1.9,No,Ingeniería Civil,1.65
STU-10450,26.0,13.25,90.85,4.44,,5.72,5.17,No,Ingeniería Civil,3.93
STU-14977,23.0,14.61,91.73,6.02,,7.59,,Sí,Ingeniería Industrial,5.5
STU-13284,,4.36,77.04,4.01,74.58,6.98,1.87,No,Ingeniería Informática,2.24
STU-13671,24.0,10.32,82.43,5.97,58.51,8.05,4.22,No,Administración,3.39
STU-13436,25.0,10.5,69.24,5.36,78.24,7.29,3.48,Sí,Ingeniería Industrial,4.75
STU-10371,18.0,17.2,89.28,5.94,88.69,8.83,4.14,Sí,Ingeniería Civil,4.81
STU-14491,21.0,8.3,90.04,5.58,,9.0,4.59,No,Ingeniería Informática,4.01
STU-10787,22.0,7.36,84.32,5.14,64.16,8.56,3.14,No,Ingeniería Industrial,3.54
STU-11541,20.0,1.87,70.08,5.62,60.84,6.51,1.49,Sí,Ingeniería Industrial,2.94
STU-13577,25.0,8.35,74.97,5.02,100.0,6.14,6.86,No,Ingeniería Informática,3.54
STU-13293,28.0,11.88,83.53,5.56,94.83,6.67,3.26,No,Administración,4.05
STU-11502,18.0,15.83,81.97,5.52,88.58,9.3,3.27,No,Administración,4.38
